merge_id,num_chunks,total_resolution_pattern
6,3,OURSTHEIRS|NON|THEIRS
28,1,NON
36,2,THEIRS|NON
41,2,OURS|OURS
59,1,THEIRS
66,3,THEIRS|OURSTHEIRS|THEIRS
70,1,NON
77,2,OURS|NON
97,1,OURS
108,1,NON
114,8,THEIRS|OURS|OURS|NON|NON|THEIRS|THEIRS|THEIRS
116,3,NON|BASE|NON
117,1,EMPTY
120,1,OURS
132,28,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
133,28,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
139,1,OURS
145,1,OURSTHEIRS
151,1,EMPTY
153,1,OURS
165,1,THEIRS
173,1,OURS
181,2,OURS|OURS
192,10,OURS|THEIRS|OURS|OURS|OURS|OURS|NON|NON|THEIRS|THEIRS
205,2,OURS|NON
211,1,NON
237,2,OURSTHEIRS|NON
253,1,OURS
255,1,OURS
273,1,OURS
279,7,NON|OURS|NON|NON|NON|NON|NON
282,1,THEIRS
306,1,THEIRS
329,1,NON
357,4,OURS|NON|OURS|OURS
361,1,THEIRS
383,1,NON
406,2,THEIRS|THEIRS
409,1,THEIRS
414,1,OURS
433,1,THEIRS
445,2,NON|NON
449,1,OURS
456,7,OURS|OURS|OURS|NON|OURS|OURS|OURS
457,1,OURS
467,17,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
490,1,BASETHEIRS
500,1,THEIRS
505,67,NON|NON|OURS|OURSTHEIRS|THEIRS|NON|THEIRS|OURS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|OURS|OURS|BASETHEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|OURS|THEIRS|OURS|NON|OURS|THEIRS|OURS|THEIRS|OURS|THEIRS|OURS|THEIRS|OURS|OURS|OURS|OURS|THEIRS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|NON|OURS|OURS|OURS|OURS|OURS|OURSTHEIRS|THEIRS|OURS|THEIRS|THEIRS|OURS|OURS|THEIRS|THEIRS|OURS|OURS|OURS
507,4,OURS|OURS|OURS|OURS
520,1,NON
536,2,BASE|OURS
546,1,THEIRS
553,10,NON|NON|NON|NON|NON|NON|THEIRS|OURS|OURS|THEIRS
555,1,OURS
562,1,NON
588,21,NON|NON|OURS|NON|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|NON|NON|NON|NON|OURS|OURS|OURS|OURS|OURS
595,2,OURS|OURS
612,1,NON
635,1,OURS
636,2,OURS|OURS
641,3,OURS|OURS|OURS
648,1,THEIRS
691,1,OURSTHEIRS
699,10,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURSBASE|THEIRS|BASE
703,1,OURS
706,3,BASETHEIRS|THEIRS|THEIRS
714,1,THEIRS
728,27,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|OURS|OURS|OURS
733,17,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURSBASE|OURS|OURSBASE|OURS|OURS
774,1,OURS
786,2,NON|OURS
796,1,THEIRS
809,2,OURS|THEIRS
845,8,THEIRS|THEIRS|THEIRS|NON|OURSTHEIRS|THEIRS|OURSTHEIRS|NON
858,1,OURS
866,1,NON
872,2,OURS|OURS
873,3,NON|NON|NON
898,1,NON
904,1,THEIRS
908,1,OURS
913,1,OURS
918,5,OURS|OURS|OURS|OURS|OURS
933,1,NON
948,189,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|THEIRS|OURSTHEIRS|OURS|THEIRS|OURS|OURS|THEIRS|BASE|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|THEIRS|OURS|BASETHEIRS|OURS|OURS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|OURSTHEIRS|OURS|NON|OURS|NON|THEIRS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|OURSTHEIRS|THEIRS|NON|THEIRS|THEIRS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|BASETHEIRS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURSTHEIRS|NON|OURS|OURS|OURS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|THEIRS|OURS|OURS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|THEIRS|BASETHEIRS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|THEIRS|THEIRS|OURS|OURS|THEIRS|OURS|THEIRS|THEIRS|BASE|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|OURS|OURS|THEIRS|THEIRS|BASE|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|OURS|BASE
951,1,NON
952,1,NON
955,1,OURS
965,2,THEIRS|NON
977,2,OURS|NON
982,1,NON
994,1,OURS
995,1,NON
1021,3,NON|NON|NON
1025,1,THEIRS
1031,1,OURS
1055,1,NON
1070,2,THEIRS|NON
1084,1,OURSTHEIRS
1092,1,OURS
1096,1,OURS
1110,11,NON|NON|NON|NON|NON|NON|NON|NON|NON|NON|NON
1113,6,NON|THEIRS|THEIRS|THEIRS|NON|OURS
1115,1,OURS
1122,14,OURSTHEIRS|THEIRS|OURS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|OURSTHEIRS|THEIRS|THEIRS|OURS|OURS|OURSTHEIRS|OURSTHEIRS
1140,9,OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
1176,1,NON
1184,1,OURSTHEIRS
1196,1,OURS
1202,2,OURS|OURS
1205,3,OURS|OURS|OURS
1215,1,NON
1221,1,OURS
1222,5,OURS|OURS|OURS|THEIRS|OURS
1234,1,THEIRS
1238,1,OURS
1252,1,OURS
1261,2,NON|OURSTHEIRS
1274,1,THEIRS
1299,4,NON|OURS|NON|NON
1315,1,OURS
1330,1,OURS
1334,2,OURS|OURS
1337,4,THEIRS|THEIRS|THEIRS|THEIRS
1349,10,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
1354,2,OURS|OURS
1356,1,OURS
1360,6,THEIRS|THEIRS|NON|OURS|NON|THEIRS
1417,7,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
1433,2,BASE|THEIRS
1442,1,OURS
1450,3,OURS|OURS|NON
1467,6,THEIRS|THEIRS|THEIRS|THEIRS|THEIRS|THEIRS
1497,1,THEIRS
1512,1,THEIRS
1525,1,OURSTHEIRS
1542,1,OURSTHEIRS
1546,1,OURS
1569,1,OURS
1585,1,NON
1638,3,NON|NON|OURSTHEIRS
1639,1,OURS
1657,2,OURS|OURS
1667,1,OURS
1669,4,OURS|OURS|OURS|OURS
1677,10,NON|NON|OURS|OURS|OURS|OURS|NON|OURS|NON|OURS
1678,11,THEIRS|OURS|THEIRS|OURS|OURS|OURS|OURS|OURS|OURS|OURS|OURS
1685,5,NON|THEIRS|NON|NON|NON
1692,1,NON
